n:1 mse_avg:41.46 mse_y:61.48 mse_u:1.80 mse_v:1.04 psnr_avg:31.95 psnr_y:30.24 psnr_u:45.57 psnr_v:47.95 
n:2 mse_avg:44.08 mse_y:65.35 mse_u:1.92 mse_v:1.12 psnr_avg:31.69 psnr_y:29.98 psnr_u:45.30 psnr_v:47.63 
n:3 mse_avg:46.85 mse_y:69.48 mse_u:2.04 mse_v:1.15 psnr_avg:31.42 psnr_y:29.71 psnr_u:45.04 psnr_v:47.53 
n:4 mse_avg:49.91 mse_y:74.04 mse_u:2.09 mse_v:1.21 psnr_avg:31.15 psnr_y:29.44 psnr_u:44.92 psnr_v:47.31 
n:5 mse_avg:51.78 mse_y:76.81 mse_u:2.17 mse_v:1.25 psnr_avg:30.99 psnr_y:29.28 psnr_u:44.76 psnr_v:47.15 
n:6 mse_avg:53.24 mse_y:78.98 mse_u:2.20 mse_v:1.34 psnr_avg:30.87 psnr_y:29.16 psnr_u:44.71 psnr_v:46.87 
n:7 mse_avg:55.72 mse_y:82.61 mse_u:2.36 mse_v:1.50 psnr_avg:30.67 psnr_y:28.96 psnr_u:44.40 psnr_v:46.36 
n:8 mse_avg:57.47 mse_y:85.20 mse_u:2.44 mse_v:1.61 psnr_avg:30.54 psnr_y:28.83 psnr_u:44.26 psnr_v:46.07 
n:9 mse_avg:56.56 mse_y:83.78 mse_u:2.52 mse_v:1.72 psnr_avg:30.61 psnr_y:28.90 psnr_u:44.12 psnr_v:45.78 
n:10 mse_avg:59.29 mse_y:87.83 mse_u:2.65 mse_v:1.77 psnr_avg:30.40 psnr_y:28.69 psnr_u:43.90 psnr_v:45.65 
n:11 mse_avg:59.83 mse_y:88.58 mse_u:2.77 mse_v:1.89 psnr_avg:30.36 psnr_y:28.66 psnr_u:43.70 psnr_v:45.36 
n:12 mse_avg:59.70 mse_y:88.35 mse_u:2.86 mse_v:1.95 psnr_avg:30.37 psnr_y:28.67 psnr_u:43.57 psnr_v:45.22 
n:13 mse_avg:62.94 mse_y:93.19 mse_u:2.88 mse_v:2.02 psnr_avg:30.14 psnr_y:28.44 psnr_u:43.53 psnr_v:45.08 
n:14 mse_avg:62.89 mse_y:93.07 mse_u:2.94 mse_v:2.10 psnr_avg:30.15 psnr_y:28.44 psnr_u:43.44 psnr_v:44.92 
n:15 mse_avg:64.61 mse_y:95.64 mse_u:2.97 mse_v:2.15 psnr_avg:30.03 psnr_y:28.32 psnr_u:43.40 psnr_v:44.80 
