n:1 mse_avg:73.00 mse_y:107.87 mse_u:4.08 mse_v:2.45 psnr_avg:29.50 psnr_y:27.80 psnr_u:42.02 psnr_v:44.24 
n:2 mse_avg:80.07 mse_y:118.48 mse_u:4.07 mse_v:2.46 psnr_avg:29.10 psnr_y:27.39 psnr_u:42.04 psnr_v:44.23 
n:3 mse_avg:86.67 mse_y:128.35 mse_u:4.15 mse_v:2.47 psnr_avg:28.75 psnr_y:27.05 psnr_u:41.95 psnr_v:44.21 
n:4 mse_avg:93.15 mse_y:138.07 mse_u:4.13 mse_v:2.49 psnr_avg:28.44 psnr_y:26.73 psnr_u:41.97 psnr_v:44.16 
n:5 mse_avg:95.27 mse_y:141.23 mse_u:4.15 mse_v:2.52 psnr_avg:28.34 psnr_y:26.63 psnr_u:41.95 psnr_v:44.11 
n:6 mse_avg:99.73 mse_y:147.89 mse_u:4.16 mse_v:2.64 psnr_avg:28.14 psnr_y:26.43 psnr_u:41.94 psnr_v:43.91 
n:7 mse_avg:103.38 mse_y:153.28 mse_u:4.31 mse_v:2.87 psnr_avg:27.99 psnr_y:26.28 psnr_u:41.78 psnr_v:43.56 
n:8 mse_avg:108.26 mse_y:160.50 mse_u:4.38 mse_v:3.16 psnr_avg:27.79 psnr_y:26.08 psnr_u:41.72 psnr_v:43.13 
n:9 mse_avg:110.11 mse_y:163.24 mse_u:4.51 mse_v:3.17 psnr_avg:27.71 psnr_y:26.00 psnr_u:41.59 psnr_v:43.13 
n:10 mse_avg:111.17 mse_y:164.79 mse_u:4.63 mse_v:3.25 psnr_avg:27.67 psnr_y:25.96 psnr_u:41.47 psnr_v:43.01 
n:11 mse_avg:112.80 mse_y:167.22 mse_u:4.62 mse_v:3.29 psnr_avg:27.61 psnr_y:25.90 psnr_u:41.48 psnr_v:42.96 
n:12 mse_avg:114.11 mse_y:169.19 mse_u:4.66 mse_v:3.26 psnr_avg:27.56 psnr_y:25.85 psnr_u:41.44 psnr_v:43.00 
n:13 mse_avg:106.13 mse_y:157.21 mse_u:4.66 mse_v:3.29 psnr_avg:27.87 psnr_y:26.17 psnr_u:41.45 psnr_v:42.96 
n:14 mse_avg:107.09 mse_y:158.65 mse_u:4.69 mse_v:3.25 psnr_avg:27.83 psnr_y:26.13 psnr_u:41.42 psnr_v:43.01 
n:15 mse_avg:106.02 mse_y:157.04 mse_u:4.67 mse_v:3.31 psnr_avg:27.88 psnr_y:26.17 psnr_u:41.43 psnr_v:42.93 
n:16 mse_avg:106.99 mse_y:158.46 mse_u:4.72 mse_v:3.38 psnr_avg:27.84 psnr_y:26.13 psnr_u:41.39 psnr_v:42.84 
n:17 mse_avg:96.36 mse_y:142.52 mse_u:4.72 mse_v:3.36 psnr_avg:28.29 psnr_y:26.59 psnr_u:41.39 psnr_v:42.86 
n:18 mse_avg:100.49 mse_y:148.65 mse_u:4.84 mse_v:3.49 psnr_avg:28.11 psnr_y:26.41 psnr_u:41.28 psnr_v:42.71 
n:19 mse_avg:96.15 mse_y:142.17 mse_u:4.80 mse_v:3.42 psnr_avg:28.30 psnr_y:26.60 psnr_u:41.32 psnr_v:42.79 
n:20 mse_avg:99.62 mse_y:147.34 mse_u:4.91 mse_v:3.44 psnr_avg:28.15 psnr_y:26.45 psnr_u:41.22 psnr_v:42.76 
n:21 mse_avg:99.89 mse_y:147.77 mse_u:4.95 mse_v:3.32 psnr_avg:28.14 psnr_y:26.44 psnr_u:41.18 psnr_v:42.92 
n:22 mse_avg:100.78 mse_y:149.10 mse_u:4.93 mse_v:3.33 psnr_avg:28.10 psnr_y:26.40 psnr_u:41.20 psnr_v:42.91 
n:23 mse_avg:97.00 mse_y:143.41 mse_u:4.95 mse_v:3.41 psnr_avg:28.26 psnr_y:26.57 psnr_u:41.18 psnr_v:42.80 
n:24 mse_avg:99.15 mse_y:146.65 mse_u:4.90 mse_v:3.43 psnr_avg:28.17 psnr_y:26.47 psnr_u:41.23 psnr_v:42.78 
n:25 mse_avg:100.46 mse_y:148.61 mse_u:4.90 mse_v:3.44 psnr_avg:28.11 psnr_y:26.41 psnr_u:41.23 psnr_v:42.77 
n:26 mse_avg:83.46 mse_y:123.25 mse_u:4.56 mse_v:3.20 psnr_avg:28.92 psnr_y:27.22 psnr_u:41.54 psnr_v:43.09 
n:27 mse_avg:92.45 mse_y:136.71 mse_u:4.62 mse_v:3.25 psnr_avg:28.47 psnr_y:26.77 psnr_u:41.48 psnr_v:43.02 
n:28 mse_avg:97.28 mse_y:143.94 mse_u:4.60 mse_v:3.34 psnr_avg:28.25 psnr_y:26.55 psnr_u:41.50 psnr_v:42.90 
n:29 mse_avg:97.43 mse_y:144.13 mse_u:4.61 mse_v:3.43 psnr_avg:28.24 psnr_y:26.54 psnr_u:41.50 psnr_v:42.77 
n:30 mse_avg:97.47 mse_y:144.17 mse_u:4.62 mse_v:3.53 psnr_avg:28.24 psnr_y:26.54 psnr_u:41.49 psnr_v:42.65 
n:31 mse_avg:102.11 mse_y:151.05 mse_u:4.74 mse_v:3.73 psnr_avg:28.04 psnr_y:26.34 psnr_u:41.37 psnr_v:42.42 
n:32 mse_avg:100.46 mse_y:148.55 mse_u:4.76 mse_v:3.80 psnr_avg:28.11 psnr_y:26.41 psnr_u:41.36 psnr_v:42.33 
n:33 mse_avg:101.73 mse_y:150.41 mse_u:4.80 mse_v:3.94 psnr_avg:28.06 psnr_y:26.36 psnr_u:41.32 psnr_v:42.18 
n:34 mse_avg:106.82 mse_y:158.02 mse_u:4.87 mse_v:3.98 psnr_avg:27.84 psnr_y:26.14 psnr_u:41.26 psnr_v:42.13 
n:35 mse_avg:98.96 mse_y:146.23 mse_u:4.87 mse_v:3.95 psnr_avg:28.18 psnr_y:26.48 psnr_u:41.26 psnr_v:42.16 
