n:1 mse_avg:49.85 mse_y:73.63 mse_u:2.82 mse_v:1.76 psnr_avg:31.15 psnr_y:29.46 psnr_u:43.63 psnr_v:45.68 
n:2 mse_avg:55.04 mse_y:81.40 mse_u:2.86 mse_v:1.79 psnr_avg:30.72 psnr_y:29.02 psnr_u:43.57 psnr_v:45.60 
n:3 mse_avg:60.94 mse_y:90.21 mse_u:2.96 mse_v:1.81 psnr_avg:30.28 psnr_y:28.58 psnr_u:43.42 psnr_v:45.55 
n:4 mse_avg:67.63 mse_y:100.23 mse_u:2.99 mse_v:1.85 psnr_avg:29.83 psnr_y:28.12 psnr_u:43.37 psnr_v:45.45 
n:5 mse_avg:69.76 mse_y:103.41 mse_u:3.03 mse_v:1.88 psnr_avg:29.69 psnr_y:27.98 psnr_u:43.32 psnr_v:45.39 
n:6 mse_avg:73.49 mse_y:108.98 mse_u:3.03 mse_v:1.99 psnr_avg:29.47 psnr_y:27.76 psnr_u:43.31 psnr_v:45.15 
n:7 mse_avg:76.68 mse_y:113.66 mse_u:3.24 mse_v:2.21 psnr_avg:29.28 psnr_y:27.57 psnr_u:43.02 psnr_v:44.69 
n:8 mse_avg:80.36 mse_y:119.16 mse_u:3.28 mse_v:2.21 psnr_avg:29.08 psnr_y:27.37 psnr_u:42.97 psnr_v:44.68 
n:9 mse_avg:81.48 mse_y:120.79 mse_u:3.37 mse_v:2.33 psnr_avg:29.02 psnr_y:27.31 psnr_u:42.85 psnr_v:44.45 
n:10 mse_avg:82.13 mse_y:121.72 mse_u:3.49 mse_v:2.44 psnr_avg:28.99 psnr_y:27.28 psnr_u:42.70 psnr_v:44.26 
n:11 mse_avg:86.37 mse_y:128.03 mse_u:3.63 mse_v:2.47 psnr_avg:28.77 psnr_y:27.06 psnr_u:42.53 psnr_v:44.20 
n:12 mse_avg:84.93 mse_y:125.84 mse_u:3.74 mse_v:2.48 psnr_avg:28.84 psnr_y:27.13 psnr_u:42.40 psnr_v:44.18 
n:13 mse_avg:86.92 mse_y:128.79 mse_u:3.77 mse_v:2.59 psnr_avg:28.74 psnr_y:27.03 psnr_u:42.37 psnr_v:44.00 
n:14 mse_avg:77.80 mse_y:115.12 mse_u:3.78 mse_v:2.58 psnr_avg:29.22 psnr_y:27.52 psnr_u:42.36 psnr_v:44.01 
n:15 mse_avg:80.29 mse_y:118.85 mse_u:3.78 mse_v:2.57 psnr_avg:29.08 psnr_y:27.38 psnr_u:42.35 psnr_v:44.04 
