n:1 mse_avg:47.12 mse_y:69.64 mse_u:2.58 mse_v:1.62 psnr_avg:31.40 psnr_y:29.70 psnr_u:44.01 psnr_v:46.04 
n:2 mse_avg:51.91 mse_y:76.80 mse_u:2.62 mse_v:1.63 psnr_avg:30.98 psnr_y:29.28 psnr_u:43.94 psnr_v:46.01 
n:3 mse_avg:57.51 mse_y:85.18 mse_u:2.69 mse_v:1.68 psnr_avg:30.53 psnr_y:28.83 psnr_u:43.84 psnr_v:45.87 
n:4 mse_avg:63.70 mse_y:94.44 mse_u:2.74 mse_v:1.71 psnr_avg:30.09 psnr_y:28.38 psnr_u:43.75 psnr_v:45.80 
n:5 mse_avg:67.50 mse_y:100.14 mse_u:2.74 mse_v:1.71 psnr_avg:29.84 psnr_y:28.12 psnr_u:43.75 psnr_v:45.79 
n:6 mse_avg:68.70 mse_y:101.90 mse_u:2.75 mse_v:1.83 psnr_avg:29.76 psnr_y:28.05 psnr_u:43.74 psnr_v:45.51 
n:7 mse_avg:71.60 mse_y:106.19 mse_u:2.92 mse_v:1.95 psnr_avg:29.58 psnr_y:27.87 psnr_u:43.48 psnr_v:45.24 
n:8 mse_avg:75.26 mse_y:111.65 mse_u:2.95 mse_v:2.05 psnr_avg:29.36 psnr_y:27.65 psnr_u:43.43 psnr_v:45.01 
n:9 mse_avg:76.27 mse_y:113.10 mse_u:3.04 mse_v:2.19 psnr_avg:29.31 psnr_y:27.60 psnr_u:43.30 psnr_v:44.72 
n:10 mse_avg:76.42 mse_y:113.26 mse_u:3.21 mse_v:2.28 psnr_avg:29.30 psnr_y:27.59 psnr_u:43.07 psnr_v:44.54 
n:11 mse_avg:80.92 mse_y:119.95 mse_u:3.33 mse_v:2.40 psnr_avg:29.05 psnr_y:27.34 psnr_u:42.90 psnr_v:44.33 
n:12 mse_avg:80.70 mse_y:119.63 mse_u:3.36 mse_v:2.34 psnr_avg:29.06 psnr_y:27.35 psnr_u:42.86 psnr_v:44.44 
n:13 mse_avg:81.66 mse_y:121.04 mse_u:3.37 mse_v:2.42 psnr_avg:29.01 psnr_y:27.30 psnr_u:42.85 psnr_v:44.30 
n:14 mse_avg:82.69 mse_y:122.56 mse_u:3.42 mse_v:2.49 psnr_avg:28.96 psnr_y:27.25 psnr_u:42.80 psnr_v:44.18 
n:15 mse_avg:82.82 mse_y:122.71 mse_u:3.47 mse_v:2.58 psnr_avg:28.95 psnr_y:27.24 psnr_u:42.72 psnr_v:44.01 
n:16 mse_avg:88.25 mse_y:130.81 mse_u:3.57 mse_v:2.68 psnr_avg:28.67 psnr_y:26.96 psnr_u:42.60 psnr_v:43.85 
n:17 mse_avg:87.98 mse_y:130.34 mse_u:3.74 mse_v:2.79 psnr_avg:28.69 psnr_y:26.98 psnr_u:42.40 psnr_v:43.68 
n:18 mse_avg:90.33 mse_y:133.85 mse_u:3.74 mse_v:2.88 psnr_avg:28.57 psnr_y:26.86 psnr_u:42.40 psnr_v:43.54 
n:19 mse_avg:86.14 mse_y:127.51 mse_u:3.94 mse_v:2.89 psnr_avg:28.78 psnr_y:27.08 psnr_u:42.17 psnr_v:43.52 
n:20 mse_avg:87.62 mse_y:129.69 mse_u:3.92 mse_v:3.01 psnr_avg:28.71 psnr_y:27.00 psnr_u:42.20 psnr_v:43.34 
n:21 mse_avg:78.49 mse_y:115.98 mse_u:3.97 mse_v:3.02 psnr_avg:29.18 psnr_y:27.49 psnr_u:42.14 psnr_v:43.33 
n:22 mse_avg:77.87 mse_y:115.06 mse_u:4.00 mse_v:2.99 psnr_avg:29.22 psnr_y:27.52 psnr_u:42.11 psnr_v:43.37 
n:23 mse_avg:78.91 mse_y:116.59 mse_u:4.03 mse_v:3.09 psnr_avg:29.16 psnr_y:27.46 psnr_u:42.08 psnr_v:43.23 
n:24 mse_avg:75.46 mse_y:111.44 mse_u:4.00 mse_v:3.04 psnr_avg:29.35 psnr_y:27.66 psnr_u:42.11 psnr_v:43.30 
n:25 mse_avg:76.27 mse_y:112.62 mse_u:4.10 mse_v:3.04 psnr_avg:29.31 psnr_y:27.61 psnr_u:42.01 psnr_v:43.30 
n:26 mse_avg:54.10 mse_y:79.83 mse_u:3.02 mse_v:2.30 psnr_avg:30.80 psnr_y:29.11 psnr_u:43.32 psnr_v:44.52 
n:27 mse_avg:65.38 mse_y:96.70 mse_u:3.14 mse_v:2.33 psnr_avg:29.98 psnr_y:28.28 psnr_u:43.17 psnr_v:44.45 
n:28 mse_avg:68.22 mse_y:100.92 mse_u:3.19 mse_v:2.43 psnr_avg:29.79 psnr_y:28.09 psnr_u:43.10 psnr_v:44.28 
n:29 mse_avg:71.18 mse_y:105.36 mse_u:3.17 mse_v:2.47 psnr_avg:29.61 psnr_y:27.90 psnr_u:43.12 psnr_v:44.20 
n:30 mse_avg:73.61 mse_y:108.98 mse_u:3.24 mse_v:2.50 psnr_avg:29.46 psnr_y:27.76 psnr_u:43.02 psnr_v:44.15 
n:31 mse_avg:75.28 mse_y:111.40 mse_u:3.37 mse_v:2.67 psnr_avg:29.36 psnr_y:27.66 psnr_u:42.86 psnr_v:43.87 
n:32 mse_avg:74.03 mse_y:109.50 mse_u:3.47 mse_v:2.75 psnr_avg:29.44 psnr_y:27.74 psnr_u:42.73 psnr_v:43.74 
n:33 mse_avg:77.60 mse_y:114.78 mse_u:3.56 mse_v:2.88 psnr_avg:29.23 psnr_y:27.53 psnr_u:42.62 psnr_v:43.53 
n:34 mse_avg:76.54 mse_y:113.19 mse_u:3.63 mse_v:2.86 psnr_avg:29.29 psnr_y:27.59 psnr_u:42.53 psnr_v:43.57 
n:35 mse_avg:77.03 mse_y:113.93 mse_u:3.59 mse_v:2.87 psnr_avg:29.26 psnr_y:27.56 psnr_u:42.58 psnr_v:43.56 
n:36 mse_avg:79.40 mse_y:117.47 mse_u:3.66 mse_v:2.89 psnr_avg:29.13 psnr_y:27.43 psnr_u:42.49 psnr_v:43.52 
n:37 mse_avg:78.57 mse_y:116.23 mse_u:3.60 mse_v:2.93 psnr_avg:29.18 psnr_y:27.48 psnr_u:42.57 psnr_v:43.47 
n:38 mse_avg:79.73 mse_y:117.94 mse_u:3.69 mse_v:2.94 psnr_avg:29.11 psnr_y:27.41 psnr_u:42.46 psnr_v:43.44 
n:39 mse_avg:76.79 mse_y:113.51 mse_u:3.73 mse_v:2.99 psnr_avg:29.28 psnr_y:27.58 psnr_u:42.42 psnr_v:43.38 
n:40 mse_avg:72.14 mse_y:106.54 mse_u:3.73 mse_v:2.98 psnr_avg:29.55 psnr_y:27.86 psnr_u:42.42 psnr_v:43.39 
n:41 mse_avg:76.29 mse_y:112.76 mse_u:3.74 mse_v:2.98 psnr_avg:29.31 psnr_y:27.61 psnr_u:42.41 psnr_v:43.38 
n:42 mse_avg:68.50 mse_y:101.12 mse_u:3.69 mse_v:2.86 psnr_avg:29.77 psnr_y:28.08 psnr_u:42.47 psnr_v:43.57 
n:43 mse_avg:70.14 mse_y:103.56 mse_u:3.65 mse_v:2.91 psnr_avg:29.67 psnr_y:27.98 psnr_u:42.50 psnr_v:43.49 
n:44 mse_avg:70.49 mse_y:104.14 mse_u:3.56 mse_v:2.85 psnr_avg:29.65 psnr_y:27.95 psnr_u:42.61 psnr_v:43.58 
n:45 mse_avg:69.77 mse_y:103.08 mse_u:3.54 mse_v:2.77 psnr_avg:29.69 psnr_y:28.00 psnr_u:42.64 psnr_v:43.70 
