n:39 mse_avg:65.08 mse_y:96.22 mse_u:3.31 mse_v:2.28 psnr_avg:30.00 psnr_y:28.30 psnr_u:42.93 psnr_v:44.55 
n:40 mse_avg:59.33 mse_y:87.62 mse_u:3.25 mse_v:2.25 psnr_avg:30.40 psnr_y:28.70 psnr_u:43.01 psnr_v:44.61 
n:41 mse_avg:61.52 mse_y:90.89 mse_u:3.32 mse_v:2.28 psnr_avg:30.24 psnr_y:28.55 psnr_u:42.92 psnr_v:44.55 
n:42 mse_avg:61.27 mse_y:90.51 mse_u:3.28 mse_v:2.30 psnr_avg:30.26 psnr_y:28.56 psnr_u:42.97 psnr_v:44.52 
n:43 mse_avg:56.21 mse_y:82.95 mse_u:3.24 mse_v:2.21 psnr_avg:30.63 psnr_y:28.94 psnr_u:43.02 psnr_v:44.68 
n:44 mse_avg:57.31 mse_y:84.63 mse_u:3.16 mse_v:2.18 psnr_avg:30.55 psnr_y:28.86 psnr_u:43.14 psnr_v:44.74 
n:45 mse_avg:57.39 mse_y:84.73 mse_u:3.19 mse_v:2.22 psnr_avg:30.54 psnr_y:28.85 psnr_u:43.09 psnr_v:44.66 
n:46 mse_avg:57.83 mse_y:85.42 mse_u:3.07 mse_v:2.23 psnr_avg:30.51 psnr_y:28.81 psnr_u:43.26 psnr_v:44.64 
n:47 mse_avg:60.85 mse_y:89.91 mse_u:3.18 mse_v:2.27 psnr_avg:30.29 psnr_y:28.59 psnr_u:43.11 psnr_v:44.57 
n:48 mse_avg:56.70 mse_y:83.70 mse_u:3.12 mse_v:2.27 psnr_avg:30.59 psnr_y:28.90 psnr_u:43.20 psnr_v:44.57 
n:49 mse_avg:58.02 mse_y:85.66 mse_u:3.16 mse_v:2.28 psnr_avg:30.50 psnr_y:28.80 psnr_u:43.13 psnr_v:44.55 
n:50 mse_avg:58.26 mse_y:86.02 mse_u:3.13 mse_v:2.33 psnr_avg:30.48 psnr_y:28.78 psnr_u:43.18 psnr_v:44.46 
n:51 mse_avg:48.37 mse_y:71.34 mse_u:2.86 mse_v:1.97 psnr_avg:31.29 psnr_y:29.60 psnr_u:43.56 psnr_v:45.18 
n:52 mse_avg:55.41 mse_y:81.81 mse_u:3.05 mse_v:2.13 psnr_avg:30.70 psnr_y:29.00 psnr_u:43.28 psnr_v:44.85 
n:53 mse_avg:56.70 mse_y:83.75 mse_u:3.03 mse_v:2.18 psnr_avg:30.59 psnr_y:28.90 psnr_u:43.31 psnr_v:44.74 
n:54 mse_avg:57.28 mse_y:84.60 mse_u:3.05 mse_v:2.22 psnr_avg:30.55 psnr_y:28.86 psnr_u:43.28 psnr_v:44.66 
n:55 mse_avg:58.46 mse_y:86.33 mse_u:3.17 mse_v:2.25 psnr_avg:30.46 psnr_y:28.77 psnr_u:43.12 psnr_v:44.61 
n:56 mse_avg:59.24 mse_y:87.51 mse_u:3.19 mse_v:2.22 psnr_avg:30.40 psnr_y:28.71 psnr_u:43.10 psnr_v:44.67 
n:57 mse_avg:62.37 mse_y:92.20 mse_u:3.20 mse_v:2.25 psnr_avg:30.18 psnr_y:28.48 psnr_u:43.08 psnr_v:44.61 
n:58 mse_avg:63.45 mse_y:93.76 mse_u:3.35 mse_v:2.31 psnr_avg:30.11 psnr_y:28.41 psnr_u:42.88 psnr_v:44.49 
n:59 mse_avg:64.07 mse_y:94.65 mse_u:3.43 mse_v:2.37 psnr_avg:30.06 psnr_y:28.37 psnr_u:42.78 psnr_v:44.38 
n:60 mse_avg:64.48 mse_y:95.23 mse_u:3.49 mse_v:2.43 psnr_avg:30.04 psnr_y:28.34 psnr_u:42.70 psnr_v:44.27 
n:61 mse_avg:63.63 mse_y:93.94 mse_u:3.52 mse_v:2.50 psnr_avg:30.09 psnr_y:28.40 psnr_u:42.66 psnr_v:44.16 
